sentence,pattern,cmi,num_switches,language_tags
"yaar , this meeting needs to be prioritize aaj",tag_switching,0.222,2,HI EN EN EN EN EN EN EN HI
Yeh workout thodi si tough tha,everyday_conversation,0.333,4,HI EN HI HI EN HI
Usne mujhe share kar diya,intraword,0.200,2,HI HI EN HI HI
1st tak payment kar dena,numerical_entity,0.200,1,EN HI HI HI HI
Itna stress hai jaldi se se,emotional_expression,0.167,2,HI EN HI HI HI HI
hum soch raha tha. The break is really quick,inter_sentential,0.444,1,HI HI HI HI EN EN EN EN EN
Unhone sab ko record kar liya,intraword,0.167,2,HI HI HI EN HI HI
Yeh kaam ho gaya. Now let's focus on the reel,inter_sentential,0.400,1,HI HI HI HI EN EN EN EN EN EN
aap solution dekh ke thoda khush ho gaya,emotional_expression,0.125,2,HI EN HI HI HI HI HI HI
meri behen yeh sunke ekdum shocked ho gaya,emotional_expression,0.125,2,HI HI HI HI HI EN HI HI
"Yaar, use upload kar de na",intraword,0.167,2,HI HI EN HI HI HI
Kal meeting hai. Make sure you finalize the pull request,inter_sentential,0.300,1,HI HI HI EN EN EN EN EN EN EN
Can you save this parso ?,english_matrix_hindi_np,0.167,2,EN EN EN EN HI EN
end of month tak payment kar dena,numerical_entity,0.429,1,EN EN EN HI HI HI HI
Is Saturday ko chhutti hai kya,numerical_entity,0.167,2,HI EN HI HI HI HI
Aaj ka deadline cancel ho gaya,hindi_matrix_english_np,0.167,2,HI HI EN HI HI HI
Usne mujhe forward kar diya,intraword,0.200,2,HI HI EN HI HI
Jaldi se delegate kar do,hindi_matrix_english_verb,0.200,2,HI HI EN HI HI
"ek kaam karo , let's just cancel it aaj",tag_switching,0.444,2,HI HI HI EN EN EN EN EN HI
main yeh cancel karna chahta hoon,hindi_matrix_english_verb,0.167,2,HI HI EN HI HI HI
Is Saturday ko chhutti hai kya,numerical_entity,0.167,2,HI EN HI HI HI HI
Itna stress hai raat ko se,emotional_expression,0.167,2,HI EN HI HI HI HI
Yeh naya app bahut useful hai,everyday_conversation,0.333,4,HI HI EN HI EN HI
Kal party mein zyada fun tha,everyday_conversation,0.333,4,HI EN HI HI EN HI
Tumhara episode mujhe mil gaya,hindi_matrix_english_np,0.200,2,HI EN HI HI HI
Kya tum share kar sakte ho,hindi_matrix_english_verb,0.167,2,HI HI EN HI HI HI
"The recipe was terrible , bata na",tag_switching,0.286,1,EN EN EN EN EN HI HI
mujhe bohot achha laga after the problem,emotional_expression,0.429,1,HI HI HI HI EN EN EN
yeh sunke bura laga . I didn't expect the coffee itna achha hoga,emotional_expression,0.462,2,HI HI HI HI EN EN EN EN EN EN HI HI HI
The presentation got cancelled. main khush hoon,inter_sentential,0.429,1,EN EN EN EN HI HI HI
Jira pe 1 PM par milte hain,numerical_entity,0.429,3,EN HI EN EN HI HI HI
Aaj traffic bahut bad tha,everyday_conversation,0.400,4,HI EN HI EN HI
Kya tune use mute kar diya,intraword,0.167,2,HI HI HI EN HI HI
The one-on-one got handle aaj shaam ko,english_matrix_hindi_np,0.429,1,EN EN EN EN HI HI HI
"Aaj coffee peeni hai, aap aa raha hai kya",everyday_conversation,0.111,2,HI EN HI HI HI HI HI HI HI
Isko save karna hai raat ko,hindi_matrix_english_verb,0.167,2,HI EN HI HI HI HI
tum lunch ke liye kahan chalein abhi,everyday_conversation,0.143,2,HI EN HI HI HI HI HI
Yeh escalate karna zaroori hai,hindi_matrix_english_verb,0.200,2,HI EN HI HI HI
Kal ka code review baad mein hai,hindi_matrix_english_np,0.286,2,HI HI EN EN HI HI HI
end of month din bacha hai deadline tak,numerical_entity,0.375,1,EN EN EN HI HI HI HI HI
"sun na , I think the project is amazing",tag_switching,0.222,1,HI HI EN EN EN EN EN EN EN
"arre , let's just search it abhi",tag_switching,0.286,2,HI EN EN EN EN EN HI
Kal ka budget baad mein hai,hindi_matrix_english_np,0.167,2,HI HI EN HI HI HI
"dekho , main yeh campus finish kar dunga",tag_switching,0.500,2,HI EN EN EN EN HI HI HI
Samajh nahi aa raha. The database keeps giving errors,inter_sentential,0.444,1,HI HI HI HI EN EN EN EN EN
Yeh naya app bilkul useful hai,everyday_conversation,0.333,4,HI HI EN HI EN HI
Is feature mein problem aa rahi hai,hindi_matrix_english_np,0.143,2,HI EN HI HI HI HI HI
"Main diet pe hoon, isliye dessert nahi lunga",everyday_conversation,0.250,4,HI EN HI HI HI EN HI HI
Please send me the client call baad mein,english_matrix_hindi_np,0.250,1,EN EN EN EN EN EN HI HI
Next Friday ko interview hai,numerical_entity,0.400,3,EN EN HI EN HI
Tune mujhe share kiya kya,intraword,0.200,2,HI HI EN HI HI
The wifi is not working. Kya karein ab,inter_sentential,0.375,1,EN EN EN EN EN HI HI HI
Ab main use zoom kar lunga,intraword,0.167,2,HI HI HI EN HI HI
end of month tak payment kar dena,numerical_entity,0.429,1,EN EN EN HI HI HI HI
main use block kar dunga,intraword,0.200,2,HI HI EN HI HI
main use download kar dunga,intraword,0.200,2,HI HI EN HI HI
We need to comment this abhi,english_matrix_hindi_np,0.167,1,EN EN EN EN EN HI
one-on-one Friday evening ko 3 PM par hai,numerical_entity,0.375,3,EN EN EN HI EN EN HI HI
"haan , the detox is long",tag_switching,0.167,1,HI EN EN EN EN EN
Samajh nahi aa raha. The script keeps giving errors,inter_sentential,0.444,1,HI HI HI HI EN EN EN EN EN
"Usne subscribe kar diya, ab kya karein",hindi_matrix_english_verb,0.143,2,HI EN HI HI HI HI HI
meri friend yeh sunke bahut zyada shocked ho gaya,emotional_expression,0.111,2,HI HI HI HI HI HI EN HI HI
"theek hai , this deployment needs to be discuss kal",tag_switching,0.300,2,HI HI EN EN EN EN EN EN EN HI
Kya tum share kar sakte ho,hindi_matrix_english_verb,0.167,2,HI HI EN HI HI HI
Aaj ka email cancel ho gaya,hindi_matrix_english_np,0.167,2,HI HI EN HI HI HI
Yeh diet bahut complicated lag raha hai,hindi_matrix_english_np,0.286,4,HI EN HI EN HI HI HI
Kal meeting hai. Make sure you reschedule the concert,inter_sentential,0.333,1,HI HI HI EN EN EN EN EN EN
tension ho rahi hai . I didn't expect the subscription itna achha hoga,emotional_expression,0.462,3,EN HI HI HI EN EN EN EN EN EN HI HI HI
Please send me the budget aaj,english_matrix_hindi_np,0.167,1,EN EN EN EN EN HI
"Pehle submit karo, phir baat karte hain",hindi_matrix_english_verb,0.143,2,HI EN HI HI HI HI HI
project Monday morning ko end of week ko reschedule ho gaya,numerical_entity,0.455,3,EN EN EN HI EN EN EN HI HI HI HI
mera dost syllabus lena bhool gaya,hindi_matrix_english_np,0.167,2,HI HI EN HI HI HI
Tera follow bahut zyada viral ho gaya,hindi_matrix_english_np,0.286,4,HI EN HI HI EN HI HI
Naya charger aa gaya hai,hindi_matrix_english_np,0.200,2,HI EN HI HI HI
Can you submit this pehle ?,english_matrix_hindi_np,0.167,2,EN EN EN EN HI EN
Please yeh review mat karo pehle,hindi_matrix_english_verb,0.167,2,HI HI EN HI HI HI
aap yeh sunke bahut zyada shocked ho gaya,emotional_expression,0.125,2,HI HI HI HI HI EN HI HI
The deployment is not working. Kya karein ab,inter_sentential,0.375,1,EN EN EN EN EN HI HI HI
"Honestly, main yeh status se thak gaya hoon",tag_switching,0.250,3,EN HI HI EN HI HI HI HI
"Usne google kar diya, ab kya karein",hindi_matrix_english_verb,0.143,2,HI EN HI HI HI HI HI
Yeh naya app itna useful hai,everyday_conversation,0.333,4,HI HI EN HI EN HI
main yeh finalize karna chahta hoon,hindi_matrix_english_verb,0.167,2,HI HI EN HI HI HI
Unhone sab ko save kar liya,intraword,0.167,2,HI HI HI EN HI HI
Aaj traffic bahut zyada bad tha,everyday_conversation,0.333,4,HI EN HI HI EN HI
"Aaj 25th tarikh hai, kal deadline hai",numerical_entity,0.143,2,HI EN HI HI HI HI HI
Ab main use scroll kar lunga,intraword,0.167,2,HI HI HI EN HI HI
mera bhai subscription dekh ke bilkul khush ho gaya,emotional_expression,0.111,2,HI HI EN HI HI HI HI HI HI
Tune use record kiya kya,intraword,0.200,2,HI HI EN HI HI
Tune mujhe edit kiya kya,intraword,0.200,2,HI HI EN HI HI
Yeh naya app thodi si useful hai,everyday_conversation,0.286,4,HI HI EN HI HI EN HI
maza aa gaya after the coffee,emotional_expression,0.500,1,HI HI HI EN EN EN
Could you please postpone the status update aaj tak chahiye,english_matrix_hindi_np,0.300,1,EN EN EN EN EN EN EN HI HI HI
Please send me the review aaj,english_matrix_hindi_np,0.167,1,EN EN EN EN EN HI
Samajh nahi aa raha. The laptop keeps giving errors,inter_sentential,0.444,1,HI HI HI HI EN EN EN EN EN
I was thinking we should follow the order pehle,english_matrix_hindi_np,0.111,1,EN EN EN EN EN EN EN EN HI
"Pehle post karo, phir baat karte hain",hindi_matrix_english_verb,0.143,2,HI EN HI HI HI HI HI
"Main diet pe hoon, isliye dessert nahi lunga",everyday_conversation,0.250,4,HI EN HI HI HI EN HI HI
"theek hai , this takeaway needs to be fix aaj",tag_switching,0.300,2,HI HI EN EN EN EN EN EN EN HI
We need to send this pehle,english_matrix_hindi_np,0.167,1,EN EN EN EN EN HI
hum yeh sunke kaafi shocked ho gaya,emotional_expression,0.143,2,HI HI HI HI EN HI HI
Kal 4 PM baje call hai,numerical_entity,0.500,4,HI EN EN HI EN HI
Yeh google karna itna mushkil nahi hai,hindi_matrix_english_verb,0.143,2,HI EN HI HI HI HI HI
Please send me the code review parso,english_matrix_hindi_np,0.143,1,EN EN EN EN EN EN HI
"Pehle message karo, phir baat karte hain",hindi_matrix_english_verb,0.143,2,HI EN HI HI HI HI HI
"mera dost password bhool gaya, ab kya karoon",everyday_conversation,0.125,2,HI HI EN HI HI HI HI HI
Isko google karna hai kal,hindi_matrix_english_verb,0.200,2,HI EN HI HI HI
main khush hoon after the trip,emotional_expression,0.500,1,HI HI HI EN EN EN
Yeh selfie ka kya plan hai,hindi_matrix_english_np,0.167,2,HI EN HI HI HI HI
"toh , I think the update is important",tag_switching,0.125,1,HI EN EN EN EN EN EN EN
Mera script kaam nahi kar raha,hindi_matrix_english_np,0.167,2,HI EN HI HI HI HI
pagal ho jaaunga . I didn't expect the subscription itna achha hoga,emotional_expression,0.500,2,HI HI HI EN EN EN EN EN EN HI HI HI
Maine use tag kar diya,intraword,0.200,2,HI HI EN HI HI
Itna stress hai thodi der mein se,emotional_expression,0.143,2,HI EN HI HI HI HI HI
"theek hai , can you send this parso ?",tag_switching,0.333,3,HI HI EN EN EN EN EN HI EN
mera dost concert dekha kya,hindi_matrix_english_np,0.200,2,HI HI EN HI HI
Yeh follow karna zaroori hai,hindi_matrix_english_verb,0.200,2,HI EN HI HI HI
"Sach mein, this weekend ne mujhe thodi si khush kar diya",emotional_expression,0.182,2,HI HI EN EN HI HI HI HI HI HI HI
Tune use share kiya kya,intraword,0.200,2,HI HI EN HI HI
aap yeh sunke bilkul shocked ho gaya,emotional_expression,0.143,2,HI HI HI HI EN HI HI
Jaldi se connect kar do,hindi_matrix_english_verb,0.200,2,HI HI EN HI HI
main work from home kar raha hoon parso,everyday_conversation,0.375,2,HI EN EN EN HI HI HI HI
mera bhai song dekh ke bilkul khush ho gaya,emotional_expression,0.111,2,HI HI EN HI HI HI HI HI HI
main phone ki battery ekdum jaldi khatam hoti hai,everyday_conversation,0.222,4,HI EN HI EN HI HI HI HI HI
"haan , I think the roadmap is optional",tag_switching,0.125,1,HI EN EN EN EN EN EN EN
"yaar , let's just review it aaj",tag_switching,0.286,2,HI EN EN EN EN EN HI
"Main diet pe hoon, isliye dessert nahi lunga",everyday_conversation,0.250,4,HI EN HI HI HI EN HI HI
Please yeh confirm mat karo aaj,hindi_matrix_english_verb,0.167,2,HI HI EN HI HI HI
"yaar , this charger needs to be confirm abhi",tag_switching,0.222,2,HI EN EN EN EN EN EN EN HI
main Google Meet pe 2 PM available hoon,numerical_entity,0.500,4,HI EN EN HI EN EN HI HI
I have a client call aaj . hum ready hoon,inter_sentential,0.300,5,EN EN EN EN EN HI EN HI EN HI
"Pehle reply karo, phir baat karna",intraword,0.167,2,HI EN HI HI HI HI
"matlab , the show is simple",tag_switching,0.167,1,HI EN EN EN EN EN
Tumhara laptop mujhe mil gaya,hindi_matrix_english_np,0.200,2,HI EN HI HI HI
Mera update khatam ho gaya,hindi_matrix_english_np,0.200,2,HI EN HI HI HI
Please send me the roadmap baad mein,english_matrix_hindi_np,0.286,1,EN EN EN EN EN HI HI
main timeline pe kaam kar raha hoon,hindi_matrix_english_np,0.143,2,HI EN HI HI HI HI HI
"I'll check it kal , don't worry",english_matrix_hindi_np,0.143,2,EN EN EN HI EN EN EN
Make sure you review the timeline pehle,english_matrix_hindi_np,0.143,1,EN EN EN EN EN EN HI
main khud like kar lunga,hindi_matrix_english_verb,0.200,2,HI HI EN HI HI
Maine use forward kar diya,intraword,0.200,2,HI HI EN HI HI
I have a delivery pehle . main ready hoon,inter_sentential,0.333,5,EN EN EN EN HI EN HI EN HI
Is follow ki wajah se late ho gaya,hindi_matrix_english_np,0.125,2,HI EN HI HI HI HI HI HI
"I'll like it parso , don't worry",english_matrix_hindi_np,0.143,2,EN EN EN HI EN EN EN
"theek hai , the like is long",tag_switching,0.286,1,HI HI EN EN EN EN EN
"hum zoom call pe tha, connection baar baar jaata tha",everyday_conversation,0.300,4,HI EN EN HI HI EN HI HI HI HI
I have a proposal kal . hum ready hoon,inter_sentential,0.333,5,EN EN EN EN HI EN HI EN HI
tension ho rahi hai after the solution,emotional_expression,0.429,2,EN HI HI HI EN EN EN
Yeh kaam ho gaya. Now let's focus on the charger,inter_sentential,0.400,1,HI HI HI HI EN EN EN EN EN EN
"Sach mein, this lunch ne mujhe itna khush kar diya",emotional_expression,0.200,2,HI HI EN EN HI HI HI HI HI HI
Uski post reply kar liya,intraword,0.200,2,HI HI EN HI HI
I finished the update . zyada acha laga,inter_sentential,0.375,1,EN EN EN EN EN HI HI HI
Itna stress hai jaldi se se,emotional_expression,0.167,2,HI EN HI HI HI HI
Yeh naya app bahut zyada useful hai,everyday_conversation,0.286,4,HI HI EN HI HI EN HI
"The vlog was important , haan",tag_switching,0.167,1,EN EN EN EN EN HI
Uski post react kar liya,intraword,0.200,2,HI HI EN HI HI
"ek kaam karo , this selfie needs to be prioritize aaj",tag_switching,0.364,2,HI HI HI EN EN EN EN EN EN EN HI
"Sach mein, this password ne mujhe zyada khush kar diya",emotional_expression,0.200,2,HI HI EN EN HI HI HI HI HI HI
Kal party mein bahut zyada fun tha,everyday_conversation,0.286,4,HI EN HI HI HI EN HI
Tune mujhe mute kiya kya,intraword,0.200,2,HI HI EN HI HI
"bata na , I think the report is boring",tag_switching,0.222,1,HI HI EN EN EN EN EN EN EN
"mera dost password bhool gaya, ab kya karoon",everyday_conversation,0.125,2,HI HI EN HI HI HI HI HI
The one-on-one got manage pichhli baar,english_matrix_hindi_np,0.333,1,EN EN EN EN HI HI
Kal meeting hai. Make sure you manage the lunch,inter_sentential,0.333,1,HI HI HI EN EN EN EN EN EN
Tera group ekdum viral ho gaya,hindi_matrix_english_np,0.333,4,HI EN HI EN HI HI
The app is not working. Kya karein ab,inter_sentential,0.375,1,EN EN EN EN EN HI HI HI
This phone is long . Mujhe nahi pasand,inter_sentential,0.375,1,EN EN EN EN EN HI HI HI
"main watch karta hoon, tum dekho",hindi_matrix_english_verb,0.167,2,HI EN HI HI HI HI
"ek kaam karo , let's just install it aaj",tag_switching,0.444,2,HI HI HI EN EN EN EN EN HI
thak gaya hoon . I didn't expect the weekend itna achha hoga,emotional_expression,0.500,2,HI HI HI EN EN EN EN EN EN HI HI HI
"The problem was interesting , matlab",tag_switching,0.167,1,EN EN EN EN EN HI
Tumhara concert mujhe mil gaya,hindi_matrix_english_np,0.200,2,HI EN HI HI HI
This idea is serious . Mujhe nahi pasand,inter_sentential,0.375,1,EN EN EN EN EN HI HI HI
main yeh upload karna chahta hoon,hindi_matrix_english_verb,0.167,2,HI HI EN HI HI HI
25th din bacha hai deadline tak,numerical_entity,0.167,1,EN HI HI HI HI HI
Is Sunday ko chhutti hai kya,numerical_entity,0.167,2,HI EN HI HI HI HI
tension ho rahi hai after the gym,emotional_expression,0.429,2,EN HI HI HI EN EN EN
Mera laptop slow ho gaya hai,everyday_conversation,0.333,2,HI EN EN HI HI HI
Kya tune use unfollow kar diya,intraword,0.167,2,HI HI HI EN HI HI
Maine use download kar diya,intraword,0.200,2,HI HI EN HI HI
deadline Thursday ko April 1 ko reschedule ho gaya,numerical_entity,0.444,3,EN EN HI EN EN HI HI HI HI
Unhone sab ko unfollow kar liya,intraword,0.167,2,HI HI HI EN HI HI
Unhone sab ko save kar liya,intraword,0.167,2,HI HI HI EN HI HI
Yeh lecture bahut slow lag raha hai,hindi_matrix_english_np,0.286,4,HI EN HI EN HI HI HI
Itna stress hai kal subah se,emotional_expression,0.167,2,HI EN HI HI HI HI
Kal 3 PM baje call hai,numerical_entity,0.500,4,HI EN EN HI EN HI
Could you please confirm the status update aaj tak chahiye,english_matrix_hindi_np,0.300,1,EN EN EN EN EN EN EN HI HI HI
one-on-one Monday morning ko 5th ko reschedule ho gaya,numerical_entity,0.444,3,EN EN EN HI EN HI HI HI HI
Maine use forward kar diya,intraword,0.200,2,HI HI EN HI HI
main use record kar dunga,intraword,0.200,2,HI HI EN HI HI
"Sach keh raha hoon, this routine best hai",emotional_expression,0.250,2,HI HI HI HI EN EN HI HI
Mera roadmap abhi bhi pending hai,hindi_matrix_english_np,0.167,2,HI EN HI HI HI HI
The project got cancelled. hum khush hoon,inter_sentential,0.429,1,EN EN EN EN HI HI HI
"main zoom call pe tha, connection baar baar jaata tha",everyday_conversation,0.300,4,HI EN EN HI HI EN HI HI HI HI
Please yeh fix mat karo baad mein,hindi_matrix_english_verb,0.143,2,HI HI EN HI HI HI HI
Saturday ko 10 AM se 5 PM wala slot available hai,numerical_entity,0.455,5,EN HI EN EN HI EN EN HI HI HI HI
"Sach mein, this gym ne mujhe bahut zyada khush kar diya",emotional_expression,0.182,2,HI HI EN EN HI HI HI HI HI HI HI
pagal ho jaaunga after the plan,emotional_expression,0.500,1,HI HI HI EN EN EN
main work from home kar raha hoon baad mein,everyday_conversation,0.333,2,HI EN EN EN HI HI HI HI HI
"sun na , can you confirm this parso ?",tag_switching,0.333,3,HI HI EN EN EN EN EN HI EN
We need to upload this abhi,english_matrix_hindi_np,0.167,1,EN EN EN EN EN HI
"dekho , main yeh weekend finish kar dunga",tag_switching,0.500,2,HI EN EN EN EN HI HI HI
Tera meme ekdum viral ho gaya,hindi_matrix_english_np,0.333,4,HI EN HI EN HI HI
Is presentation ke liye bilkul taiyar nahi hoon,hindi_matrix_english_np,0.125,2,HI EN HI HI HI HI HI HI
Next Monday ko interview hai,numerical_entity,0.400,3,EN EN HI EN HI
Is Thursday ko chhutti hai kya,numerical_entity,0.167,2,HI EN HI HI HI HI
main Instagram pe 4 PM available hoon,numerical_entity,0.429,4,HI EN HI EN EN HI HI
Yeh subscribe karna itna mushkil nahi hai,hindi_matrix_english_verb,0.143,2,HI EN HI HI HI HI HI
Is reel ki wajah se late ho gaya,hindi_matrix_english_np,0.125,2,HI EN HI HI HI HI HI HI
Could you please save the pull request aaj tak chahiye,english_matrix_hindi_np,0.300,1,EN EN EN EN EN EN EN HI HI HI
Mera report abhi bhi pending hai,hindi_matrix_english_np,0.167,2,HI EN HI HI HI HI
mera bhai post dekh ke zyada khush ho gaya,hindi_matrix_english_np,0.111,2,HI HI EN HI HI HI HI HI HI
Mera API kaam nahi kar raha,hindi_matrix_english_np,0.167,2,HI EN HI HI HI HI
"I'll send it kal , don't worry",english_matrix_hindi_np,0.143,2,EN EN EN HI EN EN EN
Yeh finalize karna zaroori hai,hindi_matrix_english_verb,0.200,2,HI EN HI HI HI
"haan , this post needs to be delegate aaj",tag_switching,0.222,2,HI EN EN EN EN EN EN EN HI
end of month din bacha hai deadline tak,numerical_entity,0.375,1,EN EN EN HI HI HI HI HI
"Aaj coffee peeni hai, hum aa raha hai kya",everyday_conversation,0.111,2,HI EN HI HI HI HI HI HI HI
"I'll install it parso , don't worry",english_matrix_hindi_np,0.143,2,EN EN EN HI EN EN EN
Yeh stream karna zaroori hai,hindi_matrix_english_verb,0.200,2,HI EN HI HI HI
Jaldi se share kar do,hindi_matrix_english_verb,0.200,2,HI HI EN HI HI
"ek kaam karo , main yeh snack finish kar dunga",tag_switching,0.400,2,HI HI HI EN EN EN EN HI HI HI
"I'll unfollow it parso , don't worry",english_matrix_hindi_np,0.143,2,EN EN EN HI EN EN EN
Tune use react kiya kya,intraword,0.200,2,HI HI EN HI HI
main code review baad mein tak bhej dunga,hindi_matrix_english_np,0.250,2,HI EN EN HI HI HI HI HI
Maine use share kar diya,intraword,0.200,2,HI HI EN HI HI
Make sure you google the proposal abhi,english_matrix_hindi_np,0.143,1,EN EN EN EN EN EN HI
reply karna padega usse,intraword,0.250,1,EN HI HI HI
"Main diet pe hoon, isliye dessert nahi lunga",everyday_conversation,0.250,4,HI EN HI HI HI EN HI HI
Next next Friday ko interview hai,numerical_entity,0.333,3,EN EN EN HI EN HI
main WhatsApp pe 6 PM available hoon,numerical_entity,0.429,4,HI EN HI EN EN HI HI
Bahut thak gaya hoon. This idea is not helping,inter_sentential,0.444,1,HI HI HI HI EN EN EN EN EN
main meeting parso tak bhej dunga,hindi_matrix_english_np,0.167,2,HI EN HI HI HI HI
"main follow karta hoon, tum dekho",hindi_matrix_english_verb,0.167,2,HI EN HI HI HI HI
main movie dekh ke kaafi khush ho gaya,emotional_expression,0.125,2,HI EN HI HI HI HI HI HI
Uski post react kar liya,intraword,0.200,2,HI HI EN HI HI
aap status dekh ke ekdum khush ho gaya,hindi_matrix_english_np,0.125,2,HI EN HI HI HI HI HI HI
Can you order this abhi ?,english_matrix_hindi_np,0.167,2,EN EN EN EN HI EN
Kya tune use zoom kar diya,intraword,0.167,2,HI HI HI EN HI HI
main proposal abhi tak bhej dunga,hindi_matrix_english_np,0.167,2,HI EN HI HI HI HI
pagal ho jaaunga after the plan,emotional_expression,0.500,1,HI HI HI EN EN EN
Samajh nahi aa raha. The bug keeps giving errors,inter_sentential,0.444,1,HI HI HI HI EN EN EN EN EN
main Google Meet pe 9:30 AM available hoon,numerical_entity,0.500,4,HI EN EN HI EN EN HI HI
"dekho , let's just save it parso",tag_switching,0.286,2,HI EN EN EN EN EN HI
Ab main use download kar lunga,intraword,0.167,2,HI HI HI EN HI HI
pagal ho jaaunga after the trip,emotional_expression,0.500,1,HI HI HI EN EN EN
Could you please call the pull request pehle tak chahiye,english_matrix_hindi_np,0.300,1,EN EN EN EN EN EN EN HI HI HI
Yeh chat bahut helpful lag raha hai,hindi_matrix_english_np,0.286,4,HI EN HI EN HI HI HI
Kal party mein zyada fun tha,everyday_conversation,0.333,4,HI EN HI HI EN HI
Please send me the proposal parso,english_matrix_hindi_np,0.167,1,EN EN EN EN EN HI
main use repost kar dunga,intraword,0.200,2,HI HI EN HI HI
"Sach mein, this subscription ne mujhe thoda khush kar diya",emotional_expression,0.200,2,HI HI EN EN HI HI HI HI HI HI
"I'll reschedule it abhi , don't worry",english_matrix_hindi_np,0.143,2,EN EN EN HI EN EN EN
"waise , I can't believe this problem itna lamba tha",emotional_expression,0.400,2,HI EN EN EN EN EN EN HI HI HI
Yeh naya app ekdum useful hai,everyday_conversation,0.333,4,HI HI EN HI EN HI
I have a idea aaj . main ready hoon,inter_sentential,0.333,5,EN EN EN EN HI EN HI EN HI
"Aaj coffee peeni hai, aap aa raha hai kya",everyday_conversation,0.111,2,HI EN HI HI HI HI HI HI HI
main pehle download karke aata hoon,hindi_matrix_english_verb,0.167,2,HI HI EN HI HI HI
tum semester mein bahut achha hai,hindi_matrix_english_np,0.167,2,HI EN HI HI HI HI
"meri behen online order kiya tha, delivery abhi aani chahiye",everyday_conversation,0.200,4,HI HI EN HI HI HI EN HI HI HI
"bata na , main yeh scholarship finish kar dunga",tag_switching,0.444,2,HI HI EN EN EN EN HI HI HI
"The caption was interesting , waise",tag_switching,0.167,1,EN EN EN EN EN HI
"yaar , I can't believe this decision itna lamba tha",emotional_expression,0.400,2,HI EN EN EN EN EN EN HI HI HI
Mera API kaam nahi kar raha,hindi_matrix_english_np,0.167,2,HI EN HI HI HI HI
main khud post kar lunga,hindi_matrix_english_verb,0.200,2,HI HI EN HI HI
main status update baad mein tak bhej dunga,hindi_matrix_english_np,0.250,2,HI EN EN HI HI HI HI HI
Please send me the code review abhi,english_matrix_hindi_np,0.143,1,EN EN EN EN EN EN HI
Samajh nahi aa raha. The app keeps giving errors,inter_sentential,0.444,1,HI HI HI HI EN EN EN EN EN
Bahut thak gaya hoon. This solution is not helping,inter_sentential,0.444,1,HI HI HI HI EN EN EN EN EN
Ab main use download kar lunga,intraword,0.167,2,HI HI HI EN HI HI
Jaldi se handle kar do,hindi_matrix_english_verb,0.200,2,HI HI EN HI HI
"arre , this deadline needs to be delegate pehle",tag_switching,0.222,2,HI EN EN EN EN EN EN EN HI
Isko comment karna hai do din mein,hindi_matrix_english_verb,0.143,2,HI EN HI HI HI HI HI
Ab main use edit kar lunga,intraword,0.167,2,HI HI HI EN HI HI
"haan , this movie needs to be send kal",tag_switching,0.222,2,HI EN EN EN EN EN EN EN HI
Could you please message the pull request parso tak chahiye,english_matrix_hindi_np,0.300,1,EN EN EN EN EN EN EN HI HI HI
Aaj ka meeting cancel ho gaya,hindi_matrix_english_np,0.167,2,HI HI EN HI HI HI
Monday ko 10 AM se 3 PM wala slot available hai,numerical_entity,0.455,5,EN HI EN EN HI EN EN HI HI HI HI
main sprint pe kaam kar raha hoon,hindi_matrix_english_np,0.143,2,HI EN HI HI HI HI HI
"Sach mein, this subscription ne mujhe thodi si khush kar diya",emotional_expression,0.182,2,HI HI EN EN HI HI HI HI HI HI HI
Yeh workout kaafi tough tha,everyday_conversation,0.400,4,HI EN HI EN HI
This order is difficult . Mujhe nahi pasand,inter_sentential,0.375,1,EN EN EN EN EN HI HI HI
yeh WhatsApp wala project baad mein tha,numerical_entity,0.286,4,HI EN HI EN HI HI HI
Monday morning ko 1 PM tak submit karna hai,numerical_entity,0.444,3,EN EN HI EN EN HI HI HI HI
main Teams pe 12 PM available hoon,numerical_entity,0.429,4,HI EN HI EN EN HI HI
"theek hai , this database needs to be send baad mein",tag_switching,0.364,2,HI HI EN EN EN EN EN EN EN HI HI
meri friend doctor se milna hai jaldi se,everyday_conversation,0.125,2,HI HI EN HI HI HI HI HI
main client call pe kaam kar raha hoon,hindi_matrix_english_np,0.250,2,HI EN EN HI HI HI HI HI
main khud share kar lunga,hindi_matrix_english_verb,0.200,2,HI HI EN HI HI
email Friday ko 25th ko reschedule ho gaya,numerical_entity,0.375,3,EN EN HI EN HI HI HI HI
"matlab , main yeh salad finish kar dunga",tag_switching,0.500,2,HI EN EN EN EN HI HI HI
main khud stream kar lunga,hindi_matrix_english_verb,0.200,2,HI HI EN HI HI
Jaldi se comment kar do,hindi_matrix_english_verb,0.200,2,HI HI EN HI HI
Notion pe 3 PM par milte hain,numerical_entity,0.429,3,EN HI EN EN HI HI HI
The app is not working. Kya karein ab,inter_sentential,0.375,1,EN EN EN EN EN HI HI HI
main use share kar dunga,intraword,0.200,2,HI HI EN HI HI
"theek hai , I can't believe this idea itna lamba tha",emotional_expression,0.455,2,HI HI EN EN EN EN EN EN HI HI HI
mera bhai order dekh ke bilkul khush ho gaya,emotional_expression,0.111,2,HI HI EN HI HI HI HI HI HI
"ek kaam karo , main yeh reel finish kar dunga",tag_switching,0.400,2,HI HI HI EN EN EN EN HI HI HI
this Sunday ko 6 PM tak submit karna hai,numerical_entity,0.444,3,EN EN HI EN EN HI HI HI HI
